clip,text,speaker,language,language_probability
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_009.wav,"in my voice, but I'm sorry, please be open for ten minutes. I've written down something, and I'm hoping.",user_voice,en,0.7166
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_010.wav,"Wir können nicht mehr zeigen, wenn wir umgehen. So, verski, als das nicht so geht, wir haben eine Brüffelung, die wir in den Brüffeln wünschen, damit verski.",user_voice,en,0.1616
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_011.wav,"So, thank you so much. When such a cold morning we told him about food out, then the carotals name all.",user_voice,en,0.6568
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_012.wav,"because he had my, I can also do it from before my post is more of a reason I'm very happy that I got to work with him.",user_voice,en,0.5977
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_013.wav,"Thank you so much, sir. And like I've made a little from the home, I want to do something with the Super Virtual Nations.",user_voice,en,0.6833
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_014.wav,"I forgot the mention in my map, that thank you. I should lose the person who pulled more about dodgy, and that's when I have this week.",user_voice,en,0.7417
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_015.wav,"So, I still remember you telling me before age and after age and endurance. Still boys.",user_voice,en,0.5118
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_016.wav,"pra mim, então vai que eu amcei a rapin. Agora, agora, tudo vou oculto. Fala second time, mas não quem falou tudo, eu tenho muita ideia. Deixa eu...",user_voice,en,0.7424
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_017.wav,"as I mentioned in the note, but you know, despite who family relations you decided.",user_voice,en,0.8150
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_019.wav,"Então, claro, agora eu estou com o outro lado, e eu estou com o outro lado, e eu estou com o outro lado, e eu estou com o outro lado, então eu não vou.",user_voice,en,0.1772
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_020.wav,"Thank you so much. I wrote a design at the end of the day. When the deals were right here, I said to you, well, thank you.",user_voice,en,0.7468
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_021.wav,"have to work on it and say thank you, that is shows with a wonderful hard to have. So, thank you so much, congratulations to you.",user_voice,en,0.7663
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_022.wav,So when I came to the Bible about that was the financial and I'm gonna be into experience the fallen,user_voice,en,0.8189
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_023.wav,"can go forward and that was all my two-plexes on the new Fortnite and I said no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,",user_voice,en,0.5249
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_024.wav,I have a wish to watch the movie and to make the focal point for the first shooting tickets for a performance in the summer day.,user_voice,en,0.5123
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_025.wav,"Why I'm going on there, sorry, I'm not a business or I come to it. To be the pickets unfortunately.",user_voice,en,0.2728
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_026.wav,"Eu fico as pessoas que eu ouvius e não nos notes, se você barchão tem que ser um monte",user_voice,en,0.8284
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_027.wav,"So, of course, if you're not involved in the actual work of the exponents, all of us do official business, and that's one of them.",user_voice,en,0.4999
/Users/apple/Documents/Codex/2026-04-27/i-am-builing-an-app-that/artifacts/voice_clean/clips/clip_028.wav,"i w ogóle to nie było, to nie było, to chyba innąłem. W tym, to nie było. To było, to było, to było. To było, to było. To było. To było.",user_voice,en,0.1866
