clip,duration_sec,keep
clip_000.wav,8.00,yes
clip_001.wav,8.00,yes
clip_002.wav,8.00,yes
clip_003.wav,8.00,yes
clip_004.wav,8.00,yes
clip_005.wav,8.00,yes
clip_006.wav,8.00,yes
clip_007.wav,8.00,yes
clip_008.wav,8.00,yes
clip_009.wav,8.00,yes
clip_010.wav,8.00,yes
clip_011.wav,8.00,yes
clip_012.wav,8.00,yes
clip_013.wav,8.00,yes
clip_014.wav,8.00,yes
clip_015.wav,8.00,yes
clip_016.wav,8.00,yes
clip_017.wav,8.00,yes
clip_018.wav,8.00,yes
clip_019.wav,8.00,yes
clip_020.wav,8.00,yes
clip_021.wav,8.00,yes
clip_022.wav,8.00,yes
clip_023.wav,8.00,yes
clip_024.wav,8.00,yes
clip_025.wav,8.00,yes
clip_026.wav,8.00,yes
clip_027.wav,8.00,yes
clip_028.wav,8.00,yes
clip_029.wav,8.00,yes
clip_030.wav,8.00,yes
clip_031.wav,8.00,yes
clip_032.wav,8.00,yes
clip_033.wav,8.00,yes
clip_034.wav,8.00,yes
clip_035.wav,8.00,yes
clip_036.wav,8.00,yes
clip_037.wav,8.00,yes
clip_038.wav,8.00,yes
clip_039.wav,8.00,yes
clip_040.wav,8.00,yes
clip_041.wav,8.00,yes
clip_042.wav,8.00,yes
clip_043.wav,8.00,yes
clip_044.wav,8.00,yes
clip_045.wav,8.00,yes
clip_046.wav,8.00,yes
clip_047.wav,8.00,yes
clip_048.wav,8.00,yes
clip_049.wav,8.00,yes
clip_050.wav,8.00,yes
clip_051.wav,8.00,yes
clip_052.wav,8.00,yes
clip_053.wav,8.00,yes
clip_054.wav,8.00,yes
clip_055.wav,8.00,yes
clip_056.wav,8.00,yes
clip_057.wav,8.00,yes
clip_058.wav,8.00,yes
clip_059.wav,8.00,yes
clip_060.wav,8.00,yes
clip_061.wav,8.00,yes
clip_062.wav,8.00,yes
clip_063.wav,8.00,yes
clip_064.wav,8.00,yes
clip_065.wav,6.03,yes
